CellID,Condition,ContourBin,ExpectedVoxelDistribution,ObservedMitoDistribution,Enrichment
1060_4-6,Glu(5min),0,0.03866505854627932,0.01602420379302632,0.4144362997367892
1060_4-6,Glu(5min),1,0.05249540771787677,0.03824062311710522,0.7284565408581972
1060_4-6,Glu(5min),2,0.05370370018170933,0.060106014668252,1.1192155189471136
1060_4-6,Glu(5min),3,0.05541989389328328,0.07436330732374499,1.3418161259373613
1060_4-6,Glu(5min),4,0.05771105504021919,0.0838774442181552,1.4534034104852265
1060_4-6,Glu(5min),5,0.060297507610260564,0.09431838004963618,1.5642168936612304
1060_4-6,Glu(5min),6,0.06313440734661037,0.1028768224281062,1.629489002142816
1060_4-6,Glu(5min),7,0.06608531960191513,0.10952173536144623,1.6572778344900723
1060_4-6,Glu(5min),8,0.06951130070266345,0.11202601886346197,1.6116231135230288
1060_4-6,Glu(5min),9,0.07257212142663595,0.10633573023943733,1.465242136361322
1060_4-6,Glu(5min),10,0.0766792747762767,0.09187937915173283,1.1982296314069834
1060_4-6,Glu(5min),11,0.0797686236546848,0.06504394803504712,0.8154076760383855
1060_4-6,Glu(5min),12,0.08458667859310354,0.034185610215764356,0.4041488658067673
1060_4-6,Glu(5min),13,0.09035046687575969,0.010065293306178624,0.1114027813494239
1060_4-6,Glu(5min),14,0.07901918403272189,0.0011151553030343568,0.014112462899801273
1092_11,Glu(5min),0,0.029627731551863365,0.008395654984891488,0.28337150855423704
1092_11,Glu(5min),1,0.040219259090641425,0.022302821325238777,0.554530884693209
1092_11,Glu(5min),2,0.04312935382506656,0.03692529196795803,0.8561522186891017
1092_11,Glu(5min),3,0.04639002938396832,0.05433332263433736,1.171228459129067
1092_11,Glu(5min),4,0.050084670442612854,0.07739500845984897,1.5452833726544806
1092_11,Glu(5min),5,0.054296357352633946,0.09631618284278437,1.773897689254692
1092_11,Glu(5min),6,0.058839300536476916,0.10428082113265685,1.7722987897860694
1092_11,Glu(5min),7,0.06381270949829054,0.10710764871222299,1.678468906183842
1092_11,Glu(5min),8,0.06970593663890677,0.10953555658469707,1.5713949466329842
1092_11,Glu(5min),9,0.0752222589608474,0.12184475145468135,1.6197964955838482
1092_11,Glu(5min),10,0.08106785945299957,0.1182063286089624,1.4581158230469187
1092_11,Glu(5min),11,0.0872769745240036,0.07867888797692685,0.9014850526846341
1092_11,Glu(5min),12,0.09611757604400885,0.04434886674706198,0.46140225931994167
1092_11,Glu(5min),13,0.10576204843888824,0.017165010614932436,0.1622983940676109
1092_11,Glu(5min),14,0.09844793425879164,0.00301482422313826,0.030623539699808675
1044_7,Glu(5min),0,0.04113076153627278,0.025243562596684477,0.6137392465836659
1044_7,Glu(5min),1,0.049856913633999786,0.04359441342007965,0.8743905356859186
1044_7,Glu(5min),2,0.05154528665674065,0.06707434144842946,1.3012701218464957
1044_7,Glu(5min),3,0.053265591678571325,0.0850713682293438,1.5971167417552201
1044_7,Glu(5min),4,0.05568110912153059,0.09729612603815814,1.747381249640661
1044_7,Glu(5min),5,0.05836507326549949,0.10294496801869507,1.763811167518014
1044_7,Glu(5min),6,0.06154318719065876,0.11333752070830637,1.841593292157432
1044_7,Glu(5min),7,0.0647199601394783,0.10940842814354833,1.6904897331172903
1044_7,Glu(5min),8,0.06858364821832436,0.1027625703533852,1.498353806234659
1044_7,Glu(5min),9,0.07222967907502804,0.09110557670576103,1.2613316004232247
1044_7,Glu(5min),10,0.07734826957479736,0.07938961238439005,1.026391576964998
1044_7,Glu(5min),11,0.0819426221367536,0.04916919920567874,0.6000442495435468
1044_7,Glu(5min),12,0.08715767912196222,0.020465566612175936,0.2348108258313979
1044_7,Glu(5min),13,0.09222941926086223,0.007976126477009666,0.08648136940394197
1044_7,Glu(5min),14,0.08440079938952053,0.005145534137163044,0.06096546684843284
1044_8-9,Glu(5min),0,0.03819406416612296,0.030321998936184015,0.7938929673548267
1044_8-9,Glu(5min),1,0.04768678916481642,0.05224536526511073,1.0955941085598955
1044_8-9,Glu(5min),2,0.04968178486291859,0.06268811380236375,1.2617927068307242
1044_8-9,Glu(5min),3,0.05211462327247021,0.06970102878789844,1.337456253372138
1044_8-9,Glu(5min),4,0.05501821595392255,0.08623963752416289,1.5674742633673928
1044_8-9,Glu(5min),5,0.058162261289081585,0.10219525564017073,1.7570715679748712
1044_8-9,Glu(5min),6,0.061554531164511726,0.11107228110688756,1.8044533685104973
1044_8-9,Glu(5min),7,0.06512571304085292,0.12042526692699887,1.8491201294250232
1044_8-9,Glu(5min),8,0.06899880891873153,0.11774383440796046,1.706461839749176
1044_8-9,Glu(5min),9,0.0730534338613643,0.11149472632685098,1.5262078787211821
1044_8-9,Glu(5min),10,0.0779260895173825,0.08518636239799691,1.0931687054435717
1044_8-9,Glu(5min),11,0.08279327313081965,0.037698978996120965,0.45533867149513124
1044_8-9,Glu(5min),12,0.08881244066501655,0.010940601445232937,0.12318771292975476
1044_8-9,Glu(5min),13,0.09470670287942846,0.0018600563044070524,0.019640175909989167
1044_8-9,Glu(5min),14,0.08617126811256007,0.00016541041242329498,0.0019195541164281097
